N/100,pN,Z/100,pZ,BE/A(MeV),przewidywane_BE/A(MeV)
0,1,0.03,0,-2.267,-1.27008
0.01,0,0.04,1,0.018,-0.42176
0.01,0,0.05,0,-0.467,-0.22623
0.06,1,0.01,0,0.94,0.8318
0.15,0,0.05,0,4.453,4.59562
0.16,1,0.05,0,4.203,4.37754
0.15,0,0.06,1,5.674,5.71083
0.08,1,0.13,0,6.302,6.27459
0.09,0,0.13,0,6.782,6.78695
0.08,1,0.14,1,6.058,6.0982
0.17,0,0.06,1,5.077,5.20533
0.09,0,0.14,1,6.565,6.61781
0.17,0,0.07,0,5.887,5.92378
0.09,0,0.15,0,6.194,6.1537
0.18,1,0.07,0,5.613,5.70255
0.1,1,0.15,0,6.812,6.83807
0.11,0,0.15,0,7.198,7.25387
0.1,1,0.16,1,6.548,6.64658
0.19,0,0.08,1,6.185,6.18296
0.11,0,0.16,1,6.977,7.01039
0.2,1,0.08,1,5.988,5.91709
0.11,0,0.17,0,6.614,6.6548
0.21,0,0.09,0,6.233,6.23442
0.13,0,0.17,0,7.48,7.52224
0.22,1,0.09,0,6.033,6.03384
0.13,0,0.18,1,7.252,7.25319
0.22,1,0.1,1,6.671,6.6346
0.13,0,0.19,0,6.947,6.96671
0.23,0,0.1,1,6.44,6.44517
0.14,1,0.19,0,7.407,7.37171
0.24,1,0.1,1,6.287,6.21491
0.15,0,0.19,0,7.67,7.67298
0.14,1,0.2,1,7.204,7.13001
0.24,1,0.11,0,6.733,6.73197
0.15,0,0.2,1,7.487,7.44482
0.25,0,0.11,0,6.546,6.60373
0.15,0,0.21,0,7.189,7.18624
0.26,1,0.11,0,6.392,6.43842
0.16,1,0.21,0,7.532,7.51525
0.26,1,0.12,1,6.928,6.91625
0.17,0,0.21,0,7.751,7.77311
0.16,1,0.22,1,7.332,7.31782
0.27,0,0.12,1,6.747,6.78832
0.26,1,0.13,0,7.281,7.28455
0.17,0,0.22,1,7.574,7.58821
0.28,1,0.12,1,6.628,6.58604
0.27,0,0.13,0,7.127,7.139
0.17,0,0.23,0,7.317,7.34021
0.28,1,0.13,0,7.008,7.00153
0.18,1,0.23,0,7.625,7.62332
0.29,0,0.13,0,6.874,6.8837
0.28,1,0.14,1,7.418,7.41316
0.19,0,0.23,0,7.824,7.85301
0.18,1,0.24,1,7.464,7.47243
0.3,1,0.13,0,6.741,6.72532
0.29,0,0.14,1,7.279,7.27769
0.19,0,0.24,1,7.68,7.69296
0.3,1,0.14,1,7.174,7.12189
0.29,0,0.15,0,7.567,7.54784
0.2,1,0.24,1,7.948,7.96556
0.19,0,0.25,0,7.467,7.45306
0.31,0,0.14,1,6.995,7.01193
0.3,1,0.15,0,7.464,7.42169
0.2,1,0.25,0,7.753,7.7125
0.19,0,0.26,1,7.313,7.2976
0.31,0,0.15,0,7.317,7.29215
0.3,1,0.16,1,7.792,7.77114
0.21,0,0.25,0,7.919,7.92129
0.2,1,0.26,1,7.609,7.59115
0.32,1,0.15,0,7.19,7.13956
0.31,0,0.16,1,7.648,7.64585
0.3,1,0.17,0,7.996,7.97861
0.21,0,0.26,1,7.785,7.77303
0.2,1,0.27,0,7.401,7.2945
0.32,1,0.16,1,7.545,7.50575
0.31,0,0.17,0,7.883,7.86077
0.22,1,0.26,1,8.023,8.02775
0.21,0,0.27,0,7.6,7.54257
0.2,1,0.28,1,7.265,7.17853
0.33,0,0.16,1,7.385,7.39372
0.32,1,0.17,0,7.781,7.75489
0.31,0,0.18,1,8.135,8.12097
0.22,1,0.27,0,7.842,7.7876
0.21,0,0.28,1,7.457,7.41826
0.33,0,0.17,0,7.651,7.63505
0.32,1,0.18,1,8.056,8.04048
0.23,0,0.27,0,8.001,7.97678
0.22,1,0.28,1,7.716,7.68203
0.34,1,0.17,0,7.53,7.49245
0.33,0,0.18,1,7.926,7.9366
0.23,0,0.28,1,7.875,7.83484
0.34,1,0.18,1,7.825,7.81679
0.24,1,0.28,1,8.079,8.07434
0.23,0,0.29,0,7.679,7.61504
0.35,0,0.18,1,7.677,7.71542
0.24,1,0.29,0,7.894,7.84701
0.35,0,0.19,0,7.889,7.90954
0.25,0,0.29,0,8.048,8.01533
0.24,1,0.3,1,7.753,7.75088
0.36,1,0.19,0,7.788,7.79447
0.35,0,0.2,1,8.12,8.14851
0.25,0,0.3,1,7.909,7.87838
0.37,0,0.19,0,7.664,7.69319
0.36,1,0.2,1,8.04,8.0603
0.26,1,0.3,1,8.106,8.10255
0.25,0,0.31,0,7.699,7.66961
0.37,0,0.2,1,7.917,7.97636
0.27,0,0.3,1,8.231,8.20318
0.26,1,0.31,0,7.909,7.88752
0.38,1,0.2,1,7.835,7.84484
0.37,0,0.21,0,8.045,8.10996
0.36,1,0.22,1,8.311,8.3718
0.27,0,0.31,0,8.059,8.03384
0.26,1,0.32,1,7.762,7.79886
0.38,1,0.21,0,7.967,8.02727
0.37,0,0.22,1,8.212,8.29622
0.28,1,0.31,0,8.232,8.21194
0.27,0,0.32,1,7.916,7.902
0.39,0,0.21,0,7.865,7.94177
0.38,1,0.22,1,8.157,8.23324
0.29,0,0.31,0,8.327,8.31827
0.28,1,0.32,1,8.106,8.1111
0.27,0,0.33,0,7.732,7.70401
0.4,1,0.21,0,7.787,7.82107
0.39,0,0.22,1,8.057,8.16272
0.29,0,0.32,1,8.208,8.19561
0.28,1,0.33,0,7.925,7.90809
0.4,1,0.22,1,7.995,8.07084
0.39,0,0.23,0,8.192,8.25363
0.3,1,0.32,1,8.341,8.36063
0.29,0,0.33,0,8.047,8.03274
0.41,0,0.22,1,7.889,8.00238
0.4,1,0.23,0,8.133,8.19325
0.3,1,0.33,0,8.193,8.19825
0.42,1,0.22,1,7.818,7.8644
0.41,0,0.23,0,8.045,8.12088
0.31,0,0.33,0,8.286,8.28969
0.3,1,0.34,1,8.073,8.10246
0.42,1,0.23,0,7.976,8.03614
0.41,0,0.24,1,8.217,8.29075
0.31,0,0.34,1,8.17,8.17227
