Z	A	EL	mass excess	err	B/A	err	est
0	1	n	8071.31713	0.00046	0.0	0.0	0
1	1	H	7288.97061	0.00009	0.0	0.0	0
1	2	H	13135.72176	0.00011	1112.283	0.000	0
1	3	H	14949.80993	0.00022	2827.265	0.000	0
2	3	He	14931.21793	0.00021	2572.680	0.000	0
3	3	Li	28667.	2000.	-2267.	667.	1
1	4	H	24621.127	100.000	1720.449	25.000	0
2	4	He	2424.91561	0.00006	7073.915	0.000	0
3	4	Li	25323.189	212.132	1153.760	53.033	0
1	5	H	32892.444	89.443	1336.359	17.889	0
2	5	He	11231.233	20.000	5512.132	4.000	0
3	5	Li	11678.886	50.000	5266.132	10.000	0
4	5	Be	37139.	2003.	18.	401.	1
1	6	H	41875.721	254.127	961.639	42.354	0
2	6	He	17592.095	0.053	4878.519	0.009	0
3	6	Li	14086.87895	0.00144	5332.331	0.000	0
4	6	Be	18375.033	5.448	4487.247	0.908	0
5	6	B	47320.	2003.	-467.	334.	1
1	7	H	49135.	1004.	940.	143.	1
2	7	He	26073.126	7.559	4123.057	1.080	0
3	7	Li	14907.10529	0.00423	5606.439	0.001	0
4	7	Be	15768.999	0.071	5371.548	0.010	0
5	7	B	27676.550	25.150	3558.705	3.593	0
2	8	He	31609.681	0.089	3924.520	0.011	0
3	8	Li	20945.804	0.047	5159.712	0.006	0
4	8	Be	4941.671	0.035	7062.435	0.004	0
5	8	B	22921.567	1.000	4717.155	0.125	0
6	8	C	35064.268	18.243	3101.524	2.280	0
2	9	He	40935.826	46.816	3349.037	5.202	0
3	9	Li	24954.902	0.186	5037.768	0.021	0
4	9	Be	11348.453	0.077	6462.668	0.009	0
5	9	B	12416.488	0.903	6257.070	0.100	0
6	9	C	28910.972	2.137	4337.423	0.237	0
2	10	He	49197.143	92.848	2995.134	9.285	0
3	10	Li	33052.624	12.721	4531.351	1.272	0
4	10	Be	12607.488	0.081	6497.630	0.008	0
5	10	B	12050.609	0.015	6475.083	0.002	0
6	10	C	15698.672	0.070	6032.042	0.007	0
7	10	N	38800.026	400.000	3643.672	40.000	0
3	11	Li	40728.254	0.615	4155.381	0.056	0
4	11	Be	20177.167	0.238	5952.540	0.022	0
5	11	B	8667.707	0.012	6927.732	0.001	0
6	11	C	10649.396	0.060	6676.456	0.005	0
7	11	N	24303.559	46.154	5364.046	4.196	0
3	12	Li	49009.571	30.006	3791.600	2.501	0
4	12	Be	25077.760	1.909	5720.722	0.159	0
5	12	B	13369.397	1.321	6631.223	0.110	0
6	12	C	0.0	0.0	7680.144	0.000	0
7	12	N	17338.068	1.000	6170.109	0.083	0
8	12	O	31914.613	24.000	4890.202	2.000	0
3	13	Li	56980.888	70.003	3507.630	5.385	0
4	13	Be	33659.077	10.180	5241.435	0.783	0
5	13	B	16561.947	1.000	6496.419	0.077	0
6	13	C	3125.00888	0.00021	7469.849	0.000	0
7	13	N	5345.481	0.270	7238.863	0.021	0
8	13	O	23115.432	9.526	5811.763	0.733	0
4	14	Be	39954.498	132.245	4993.897	9.446	0
5	14	B	23663.685	21.213	6101.644	1.515	0
6	14	C	3019.89278	0.00376	7520.319	0.000	0
7	14	N	2863.41672	0.00019	7475.614	0.000	0
8	14	O	8007.781	0.025	7052.278	0.002	0
9	14	F	31964.402	41.119	5285.208	2.937	0
4	15	Be	49825.815	165.797	4540.970	11.053	0
5	15	B	28958.242	21.032	5879.985	1.402	0
6	15	C	9873.144	0.800	7100.169	0.053	0
7	15	N	101.43871	0.00060	7699.460	0.000	0
8	15	O	2855.605	0.491	7463.692	0.033	0
9	15	F	16566.751	14.000	6497.459	0.933	0
10	15	Ne	40215.373	66.684	4868.728	4.446	0
4	16	Be	57447.132	165.797	4285.285	10.362	0
5	16	B	37112.510	24.569	5507.302	1.536	0
6	16	C	13694.132	3.578	6922.054	0.224	0
7	16	N	5683.907	2.301	7373.796	0.144	0
8	16	O	-4737.00135	0.00016	7976.206	0.000	0
9	16	F	10680.253	8.321	6963.731	0.520	0
10	16	Ne	23986.776	20.480	6083.177	1.280	0
5	17	B	43716.317	204.104	5269.667	12.006	0
6	17	C	21031.898	17.365	6558.024	1.021	0
7	17	N	7870.079	15.000	7286.229	0.882	0
8	17	O	-808.76348	0.00066	7750.728	0.000	0
9	17	F	1951.702	0.248	7542.328	0.015	0
10	17	Ne	16500.447	0.354	6640.499	0.021	0
11	17	Na	35173.214	1001.356	5496.080	58.903	0
5	18	B	51792.634	204.165	4976.630	11.342	0
6	18	C	24919.264	30.000	6426.131	1.667	0
7	18	N	13113.168	18.570	7038.562	1.032	0
8	18	O	-782.81560	0.00071	7767.097	0.000	0
9	18	F	873.113	0.463	7631.638	0.026	0
10	18	Ne	5317.614	0.363	7341.257	0.020	0
11	18	Na	25037.988	93.881	6202.217	5.216	0
5	19	B	59770.244	525.363	4719.634	27.651	0
6	19	C	32413.752	98.389	6118.273	5.178	0
7	19	N	15856.282	16.404	6948.543	0.863	0
8	19	O	3332.858	2.637	7566.495	0.139	0
9	19	F	-1487.44420	0.00086	7779.018	0.000	0
10	19	Ne	1752.050	0.160	7567.343	0.008	0
11	19	Na	12929.390	10.535	6937.885	0.554	0
12	19	Mg	31828.389	50.001	5902.025	2.632	0
5	20	B	68450.	800.	4453.	40.	1
6	20	C	37503.563	230.625	5961.435	11.531	0
7	20	N	21766.496	78.894	6709.171	3.945	0
8	20	O	3796.172	0.885	7568.570	0.044	0
9	20	F	-17.463	0.030	7720.134	0.002	0
10	20	Ne	-7041.93055	0.00157	8032.240	0.000	0
11	20	Na	6850.604	1.114	7298.496	0.056	0
12	20	Mg	17477.692	1.863	6728.025	0.093	0
5	21	B	77330.	900.	4203.	43.	1
6	21	C	45643.	596.	5674.	28.	1
7	21	N	25231.913	134.048	6609.015	6.383	0
8	21	O	8062.035	12.000	7389.374	0.571	0
9	21	F	-47.605	1.800	7738.293	0.086	0
10	21	Ne	-5731.776	0.038	7971.713	0.002	0
11	21	Na	-2184.631	0.098	7765.547	0.005	0
12	21	Mg	10903.850	0.755	7105.031	0.036	0
13	21	Al	26990.	596.	6302.	28.	1
6	22	C	53611.197	231.490	5421.077	10.522	0
7	22	N	31764.801	207.779	6378.534	9.445	0
8	22	O	9283.033	56.921	7364.871	2.587	0
9	22	F	2793.373	12.399	7624.295	0.564	0
10	22	Ne	-8024.719	0.018	8080.465	0.001	0
11	22	Na	-5181.511	0.171	7915.667	0.008	0
12	22	Mg	-399.933	0.313	7662.761	0.014	0
13	22	Al	18201.	401.	6782.	18.	1
14	22	Si	33338.	503.	6058.	23.	1
6	23	C	64171.	997.	5077.	43.	1
7	23	N	36720.425	420.570	6236.671	18.286	0
8	23	O	14621.369	121.712	7163.485	5.292	0
9	23	F	3285.263	33.320	7622.344	1.449	0
10	23	Ne	-5154.049	0.104	7955.256	0.005	0
11	23	Na	-9529.85248	0.00181	8111.493	0.000	0
12	23	Mg	-5473.513	0.158	7901.115	0.007	0
13	23	Al	6748.070	0.345	7335.727	0.015	0
14	23	Si	23697.	503.	6565.	22.	1
7	24	N	46938.	401.	5887.	17.	1
8	24	O	18500.402	164.874	7039.685	6.870	0
9	24	F	7544.515	97.670	7463.582	4.070	0
10	24	Ne	-5951.646	0.513	7993.325	0.021	0
11	24	Na	-8417.901	0.017	8063.488	0.001	0
12	24	Mg	-13933.569	0.013	8260.709	0.001	0
13	24	Al	-48.865	0.233	7649.582	0.010	0
14	24	Si	10745.195	19.472	7167.232	0.811	0
15	24	P	33320.	503.	6194.	21.	1
7	25	N	55983.	503.	5613.	20.	1
8	25	O	27329.027	165.084	6727.805	6.603	0
9	25	F	11334.166	96.442	7336.306	3.858	0
10	25	Ne	-2035.502	29.045	7839.799	1.162	0
11	25	Na	-9357.813	1.200	8101.397	0.048	0
12	25	Mg	-13192.783	0.047	8223.502	0.002	0
13	25	Al	-8915.975	0.065	8021.136	0.003	0
14	25	Si	3827.324	10.000	7480.110	0.400	0
15	25	P	19738.	401.	6812.	16.	1
8	26	O	34661.037	164.950	6497.478	6.344	0
9	26	F	18648.875	111.199	7083.240	4.277	0
10	26	Ne	481.114	18.429	7751.910	0.709	0
11	26	Na	-6860.780	3.502	8004.201	0.135	0
12	26	Mg	-16214.542	0.030	8333.870	0.001	0
13	26	Al	-12210.151	0.067	8149.765	0.003	0
14	26	Si	-7141.015	0.108	7924.708	0.004	0
15	26	P	10973.	196.	7198.	8.	1
16	26	S	27079.	596.	6548.	23.	1
8	27	O	44670.	500.	6185.	19.	1
9	27	F	25450.279	389.830	6867.932	14.438	0
10	27	Ne	7050.909	90.770	7520.414	3.362	0
11	27	Na	-5517.790	3.726	7956.946	0.138	0
12	27	Mg	-14586.611	0.050	8263.852	0.002	0
13	27	Al	-17196.861	0.047	8331.553	0.002	0
14	27	Si	-12384.503	0.107	8124.341	0.004	0
15	27	P	-722.458	26.340	7663.438	0.976	0
16	27	S	17028.	401.	6977.	15.	1
8	28	O	52080.	699.	5988.	25.	1
9	28	F	33741.596	393.024	6614.792	14.037	0
10	28	Ne	11299.737	126.068	7388.346	4.502	0
11	28	Na	-988.315	10.246	7799.264	0.366	0
12	28	Mg	-15018.845	2.001	8272.413	0.071	0
13	28	Al	-16850.645	0.077	8309.894	0.003	0
14	28	Si	-21492.79430	0.00049	8447.744	0.000	0
15	28	P	-7147.740	1.152	7907.479	0.041	0
16	28	S	4073.206	160.000	7478.790	5.714	0
17	28	Cl	27516.	596.	6614.	21.	1
9	29	F	40150.186	525.363	6444.031	18.116	0
10	29	Ne	18399.801	149.505	7167.067	5.155	0
11	29	Na	2679.994	7.337	7682.151	0.253	0
12	29	Mg	-10602.829	11.400	8113.202	0.393	0
13	29	Al	-18207.760	0.345	8348.464	0.012	0
14	29	Si	-21895.07838	0.00056	8448.635	0.000	0
15	29	P	-16952.848	0.359	8251.236	0.012	0
16	29	S	-3156.416	50.000	7748.520	1.724	0
17	29	Cl	13162.176	188.680	7158.832	6.506	0
9	30	F	48112.	596.	6233.	20.	1
10	30	Ne	23280.117	253.250	7034.531	8.442	0
11	30	Na	8474.670	4.727	7501.968	0.158	0
12	30	Mg	-8883.820	3.447	8054.506	0.115	0
13	30	Al	-15864.844	2.888	8261.128	0.096	0
14	30	Si	-24432.960	0.022	8520.654	0.001	0
15	30	P	-20200.854	0.065	8353.506	0.002	0
16	30	S	-14059.253	0.206	8122.707	0.007	0
17	30	Cl	4443.	196.	7480.	7.	1
18	30	Ar	20931.147	206.155	6904.204	6.872	0
9	31	F	56143.	546.	6033.	18.	1
10	31	Ne	31181.591	266.195	6813.090	8.587	0
11	31	Na	12246.031	13.972	7398.677	0.451	0
12	31	Mg	-3122.151	3.074	7869.188	0.099	0
13	31	Al	-14950.706	2.236	8225.517	0.072	0
14	31	Si	-22949.036	0.043	8458.291	0.001	0
15	31	P	-24440.54095	0.00067	8481.167	0.000	0
16	31	S	-19042.525	0.229	8281.800	0.007	0
17	31	Cl	-7034.551	3.447	7869.209	0.111	0
18	31	Ar	11325.	200.	7252.	6.	1
10	32	Ne	36999.	503.	6671.	16.	1
11	32	Na	18640.151	37.260	7219.881	1.164	0
12	32	Mg	-828.900	3.260	7803.840	0.102	0
13	32	Al	-11099.367	7.173	8100.344	0.224	0
14	32	Si	-24077.686	0.298	8481.468	0.009	0
15	32	P	-24304.874	0.040	8464.120	0.001	0
16	32	S	-26015.53355	0.00132	8493.129	0.000	0
17	32	Cl	-13334.674	0.562	8072.404	0.018	0
18	32	Ar	-2200.351	1.770	7700.008	0.055	0
19	32	K	21098.	401.	6947.	13.	1
10	33	Ne	45997.	596.	6440.	18.	1
11	33	Na	23780.110	449.912	7089.926	13.634	0
12	33	Mg	4962.297	2.888	7636.455	0.088	0
13	33	Al	-8497.380	6.986	8020.616	0.212	0
14	33	Si	-20514.325	0.699	8361.059	0.021	0
15	33	P	-26337.346	1.090	8513.806	0.033	0
16	33	S	-26585.85434	0.00135	8497.630	0.000	0
17	33	Cl	-21003.337	0.391	8304.755	0.012	0
18	33	Ar	-9384.292	0.401	7928.955	0.012	0
19	33	K	7042.	196.	7407.	6.	1
10	34	Ne	52842.	513.	6287.	15.	1
11	34	Na	31680.111	599.416	6886.437	17.630	0
12	34	Mg	8323.348	28.876	7550.390	0.849	0
13	34	Al	-3000.289	3.074	7860.428	0.090	0
14	34	Si	-19956.852	14.118	8336.141	0.415	0
15	34	P	-24548.698	0.810	8448.185	0.024	0
16	34	S	-29931.685	0.045	8583.498	0.001	0
17	34	Cl	-24440.082	0.049	8398.970	0.001	0
18	34	Ar	-18378.290	0.078	8197.672	0.002	0
19	34	K	-1220.	196.	7670.	6.	1
20	34	Ca	13851.	298.	7204.	9.	1
11	35	Na	38231.	670.	6733.	19.	1
12	35	Mg	15639.784	269.668	7356.233	7.705	0
13	35	Al	-223.728	7.359	7787.124	0.210	0
14	35	Si	-14391.457	35.857	8169.563	1.024	0
15	35	P	-24857.799	1.866	8446.249	0.053	0
16	35	S	-28846.206	0.040	8537.850	0.001	0
17	35	Cl	-29013.528	0.035	8520.278	0.001	0
18	35	Ar	-23047.284	0.680	8327.461	0.019	0
19	35	K	-11172.891	0.512	7965.840	0.015	0
20	35	Ca	4788.	196.	7487.	6.	1
11	36	Na	46303.	678.	6546.	19.	1
12	36	Mg	20380.157	690.237	7244.419	19.173	0
13	36	Al	5950.384	149.505	7623.515	4.153	0
14	36	Si	-12436.124	71.797	8112.519	1.994	0
15	36	P	-20251.034	13.114	8307.868	0.364	0
16	36	S	-30664.131	0.188	8575.389	0.005	0
17	36	Cl	-29522.005	0.036	8521.931	0.001	0
18	36	Ar	-30231.540	0.027	8519.909	0.001	0
19	36	K	-17417.065	0.341	8142.219	0.009	0
20	36	Ca	-6451.149	40.000	7815.879	1.111	0
21	36	Sc	15351.	298.	7189.	8.	1
11	37	Na	53534.	687.	6392.	19.	1
12	37	Mg	28211.474	698.947	7055.111	18.890	0
13	37	Al	9809.563	180.244	7531.315	4.871	0
14	37	Si	-6571.511	113.809	7952.903	3.076	0
15	37	P	-18995.998	37.948	8267.555	1.026	0
16	37	S	-26896.417	0.198	8459.935	0.005	0
17	37	Cl	-31761.538	0.052	8570.281	0.001	0
18	37	Ar	-30947.664	0.207	8527.139	0.006	0
19	37	K	-24800.199	0.094	8339.847	0.003	0
20	37	Ca	-13136.066	0.634	8003.456	0.017	0
21	37	Sc	3520.	300.	7532.	8.	1
12	38	Mg	34074.	503.	6928.	13.	1
13	38	Al	16209.859	374.461	7377.097	9.854	0
14	38	Si	-4170.299	104.793	7892.829	2.758	0
15	38	P	-14621.563	72.581	8147.274	1.910	0
16	38	S	-26861.203	7.172	8448.782	0.189	0
17	38	Cl	-29798.103	0.098	8505.481	0.003	0
18	38	Ar	-34714.821	0.195	8614.280	0.005	0
19	38	K	-28800.755	0.195	8438.058	0.005	0
20	38	Ca	-22058.499	0.194	8240.043	0.005	0
21	38	Sc	-4249.	200.	7751.	5.	1
22	38	Ti	10870.	300.	7332.	8.	1
12	39	Mg	42275.	513.	6747.	13.	1
13	39	Al	20650.	400.	7281.	10.	1
14	39	Si	2320.352	135.532	7730.979	3.475	0
15	39	P	-12774.634	112.645	8097.969	2.888	0
16	39	S	-23162.667	50.000	8344.269	1.282	0
17	39	Cl	-29800.205	1.732	8494.402	0.044	0
18	39	Ar	-33242.190	5.000	8562.598	0.128	0
19	39	K	-33807.19010	0.00458	8557.025	0.000	0
20	39	Ca	-27282.702	0.596	8369.670	0.015	0
21	39	Sc	-14172.709	24.000	8013.456	0.615	0
22	39	Ti	2200.	200.	7574.	5.	1
12	40	Mg	48350.	500.	6628.	13.	1
13	40	Al	27590.	400.	7127.	10.	1
14	40	Si	5429.679	345.119	7661.754	8.628	0
15	40	P	-8114.370	153.582	7980.796	3.840	0
16	40	S	-22837.846	3.982	8329.325	0.100	0
17	40	Cl	-27557.813	32.066	8427.765	0.802	0
18	40	Ar	-35039.89464	0.00224	8595.259	0.000	0
19	40	K	-33535.492	0.056	8538.090	0.001	0
20	40	Ca	-34846.384	0.021	8551.303	0.001	0
21	40	Sc	-20523.335	2.828	8173.669	0.071	0
22	40	Ti	-8850.384	160.000	7862.286	4.000	0
23	40	V	12170.	300.	7317.	7.	1
13	41	Al	33420.	500.	7008.	12.	1
14	41	Si	12119.668	554.705	7508.573	13.529	0
15	41	P	-4979.767	120.163	7906.551	2.931	0
16	41	S	-19008.577	4.099	8229.635	0.100	0
17	41	Cl	-27307.189	68.723	8412.959	1.676	0
18	41	Ar	-33067.505	0.347	8534.372	0.008	0
19	41	K	-35559.54331	0.00380	8576.072	0.000	0
20	41	Ca	-35137.890	0.138	8546.706	0.003	0
21	41	Sc	-28642.412	0.083	8369.198	0.002	0
22	41	Ti	-15697.537	27.945	8034.388	0.682	0
23	41	V	320.	200.	7625.	5.	1
13	42	Al	40100.	600.	6874.	14.	1
14	42	Si	16470.	500.	7418.	12.	1
15	42	P	1009.740	314.379	7767.866	7.485	0
16	42	S	-17637.746	2.794	8193.227	0.067	0
17	42	Cl	-24831.767	59.616	8345.886	1.419	0
18	42	Ar	-34422.675	5.775	8555.613	0.138	0
19	42	K	-35022.026	0.106	8551.256	0.003	0
20	42	Ca	-38547.245	0.149	8616.563	0.004	0
21	42	Sc	-32121.153	0.169	8444.933	0.004	0
22	42	Ti	-25104.674	0.277	8259.247	0.007	0
23	42	V	-7620.	196.	7824.	5.	1
24	42	Cr	6730.	400.	7464.	10.	1
13	43	Al	47020.	800.	6741.	19.	1
14	43	Si	23101.	596.	7279.	14.	1
15	43	P	4679.826	554.705	7689.572	12.900	0
16	43	S	-12195.459	4.970	8063.827	0.116	0
17	43	Cl	-24159.508	61.858	8323.866	1.439	0
18	43	Ar	-32009.808	5.310	8488.237	0.123	0
19	43	K	-36575.389	0.410	8576.220	0.010	0
20	43	Ca	-38408.822	0.228	8600.663	0.005	0
21	43	Sc	-36188.102	1.863	8530.825	0.043	0
22	43	Ti	-29321.082	7.245	8352.932	0.168	0
23	43	V	-17916.356	42.849	8069.512	0.996	0
24	43	Cr	-1970.	400.	7680.	9.	1
14	44	Si	28513.	596.	7174.	14.	1
15	44	P	10450.	500.	7567.	11.	1
16	44	S	-9204.233	5.216	7996.015	0.119	0
17	44	Cl	-20384.523	136.321	8232.332	3.098	0
18	44	Ar	-32673.255	1.584	8493.840	0.036	0
19	44	K	-35781.492	0.419	8546.701	0.010	0
20	44	Ca	-41468.675	0.325	8658.175	0.007	0
21	44	Sc	-37815.985	1.756	8557.379	0.040	0
22	44	Ti	-37548.569	0.700	8533.520	0.016	0
23	44	V	-24116.380	181.641	8210.463	4.128	0
24	44	Cr	-13360.	300.	7948.	7.	1
25	44	Mn	7030.	500.	7467.	11.	1
14	45	Si	37490.	700.	6995.	16.	1
15	45	P	15600.	500.	7464.	11.	1
16	45	S	-3989.589	1035.356	7881.807	23.008	0
17	45	Cl	-18262.543	136.163	8181.598	3.026	0
18	45	Ar	-29770.796	0.512	8419.952	0.011	0
19	45	K	-36615.638	0.522	8554.674	0.012	0
20	45	Ca	-40812.174	0.366	8630.545	0.008	0
21	45	Sc	-41071.896	0.675	8618.931	0.015	0
22	45	Ti	-39009.840	0.845	8555.722	0.019	0
23	45	V	-31886.016	0.872	8380.029	0.019	0
24	45	Cr	-19514.799	35.397	8087.728	0.787	0
25	45	Mn	-5250.	400.	7753.	9.	1
26	45	Fe	13762.	400.	7313.	9.	1
15	46	P	22970.	700.	7317.	15.	1
16	46	S	340.	500.	7792.	11.	1
17	46	Cl	-13859.398	208.661	8083.480	4.536	0
18	46	Ar	-29772.926	1.118	8412.419	0.024	0
19	46	K	-35413.924	0.727	8518.042	0.016	0
20	46	Ca	-43139.361	2.235	8668.979	0.049	0
21	46	Sc	-41761.219	0.683	8622.012	0.015	0
22	46	Ti	-44127.799	0.165	8656.451	0.004	0
23	46	V	-37075.351	0.202	8486.130	0.004	0
24	46	Cr	-29471.567	11.453	8303.823	0.249	0
25	46	Mn	-12570.	400.	7919.	9.	1
26	46	Fe	910.	500.	7609.	11.	1
15	47	P	29710.	800.	7190.	17.	1
16	47	S	7370.	500.	7648.	11.	1
17	47	Cl	-9780.	400.	7996.	9.	1
18	47	Ar	-25366.338	1.118	8311.404	0.024	0
19	47	K	-35711.976	1.397	8514.879	0.030	0
20	47	Ca	-42344.418	2.222	8639.349	0.047	0
21	47	Sc	-44336.595	1.933	8665.090	0.041	0
22	47	Ti	-44937.364	0.115	8661.227	0.002	0
23	47	V	-42006.618	0.169	8582.225	0.004	0
24	47	Cr	-34562.578	6.030	8407.195	0.128	0
25	47	Mn	-22566.374	31.671	8135.311	0.674	0
26	47	Fe	-6870.	500.	7785.	11.	1
27	47	Co	10370.	600.	7401.	13.	1
16	48	S	12761.	596.	7545.	12.	1
17	48	Cl	-4280.	500.	7883.	10.	1
18	48	Ar	-22281.337	307.393	8242.132	6.404	0
19	48	K	-32284.477	0.773	8434.232	0.016	0
20	48	Ca	-44224.629	0.096	8666.686	0.002	0
21	48	Sc	-44503.842	4.951	8656.204	0.103	0
22	48	Ti	-48492.709	0.109	8723.006	0.002	0
23	48	V	-44477.694	0.975	8623.061	0.020	0
24	48	Cr	-42822.020	7.324	8572.269	0.153	0
25	48	Mn	-29296.338	6.939	8274.185	0.145	0
26	48	Fe	-18000.	400.	8023.	8.	1
27	48	Co	1500.	500.	7600.	10.	1
28	48	Ni	16793.	502.	7265.	10.	1
16	49	S	21093.	667.	7385.	14.	1
17	49	Cl	940.	600.	7781.	12.	1
18	49	Ar	-17190.	400.	8135.	8.	1
19	49	K	-29611.490	0.801	8372.274	0.016	0
20	49	Ca	-41299.765	0.201	8594.844	0.004	0
21	49	Sc	-46561.265	2.698	8686.256	0.055	0
22	49	Ti	-48563.787	0.114	8711.157	0.002	0
23	49	V	-47961.931	0.828	8682.908	0.017	0
24	49	Cr	-45333.060	2.243	8613.291	0.046	0
25	49	Mn	-37620.634	2.255	8439.929	0.046	0
26	49	Fe	-24750.727	24.219	8161.311	0.494	0
27	49	Co	-9880.	500.	7842.	10.	1
28	49	Ni	8200.	600.	7457.	12.	1
17	50	Cl	7740.	600.	7651.	12.	1
18	50	Ar	-13330.	500.	8056.	10.	1
19	50	K	-25727.848	7.731	8288.582	0.155	0
20	50	Ca	-39589.224	1.584	8550.163	0.032	0
21	50	Sc	-44547.382	15.000	8633.679	0.300	0
22	50	Ti	-51431.660	0.121	8755.718	0.002	0
23	50	V	-49224.013	0.409	8695.918	0.008	0
