N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.01,0,0.01,0,1.11605
0.01,0,0.02,1,2.57322
0.01,0,0.03,0,1.1496
0.01,0,0.04,1,-0.42176
0.01,0,0.05,0,-0.22623
0.01,0,0.06,1,-0.95474
0.01,0,0.07,0,-1.14682
0.01,0,0.08,1,-1.07
0.01,0,0.09,0,-1.29392
0.01,0,0.1,1,-0.80061
0.01,0,0.11,0,-1.00762
0.01,0,0.12,1,-0.23786
0.01,0,0.13,0,-0.6239
0.01,0,0.14,1,0.42354
0.01,0,0.15,0,-0.24748
0.01,0,0.16,1,1.00027
0.01,0,0.17,0,0.08638
0.01,0,0.18,1,1.41281
0.01,0,0.19,0,0.35906
0.01,0,0.2,1,1.66701
0.01,0,0.21,0,0.56591
0.01,0,0.22,1,1.79758
0.01,0,0.23,0,0.71145
0.01,0,0.24,1,1.8376
0.01,0,0.25,0,0.80392
0.01,0,0.26,1,1.81103
0.01,0,0.27,0,0.85194
0.01,0,0.28,1,1.73377
0.01,0,0.29,0,0.86302
0.01,0,0.3,1,1.6162
0.01,0,0.31,0,0.84309
0.01,0,0.32,1,1.46553
0.01,0,0.33,0,0.79637
0.01,0,0.34,1,1.28742
0.01,0,0.35,0,0.72532
0.01,0,0.36,1,1.08688
0.01,0,0.37,0,0.63035
0.01,0,0.38,1,0.86809
0.01,0,0.39,0,0.50936
0.01,0,0.4,1,0.63324
0.01,0,0.41,0,0.35701
0.01,0,0.42,1,0.38028
0.01,0,0.43,0,0.16436
0.01,0,0.44,1,0.10131
0.01,0,0.45,0,-0.07959
0.01,0,0.46,1,-0.21494
0.01,0,0.47,0,-0.38137
0.01,0,0.48,1,-0.57135
0.01,0,0.49,0,-0.72946
0.01,0,0.5,1,-0.94681
0.01,0,0.51,0,-1.08529
0.01,0,0.52,1,-1.30059
0.01,0,0.53,0,-1.4013
0.01,0,0.54,1,-1.60252
0.01,0,0.55,0,-1.65367
0.01,0,0.56,1,-1.8491
0.01,0,0.57,0,-1.84896
0.01,0,0.58,1,-2.05185
0.01,0,0.59,0,-2.0064
0.01,0,0.6,1,-2.22301
0.01,0,0.61,0,-2.14329
0.01,0,0.62,1,-2.37089
0.01,0,0.63,0,-2.27066
0.01,0,0.64,1,-2.50054
0.01,0,0.65,0,-2.39416
0.01,0,0.66,1,-2.6152
0.01,0,0.67,0,-2.51577
0.01,0,0.68,1,-2.7172
0.01,0,0.69,0,-2.63535
0.01,0,0.7,1,-2.80836
0.01,0,0.71,0,-2.75168
0.01,0,0.72,1,-2.89018
0.01,0,0.73,0,-2.86317
0.01,0,0.74,1,-2.96394
0.01,0,0.75,0,-2.96833
0.01,0,0.76,1,-3.0307
0.01,0,0.77,0,-3.06604
0.01,0,0.78,1,-3.09137
0.01,0,0.79,0,-3.15565
0.01,0,0.8,1,-3.14669
0.01,0,0.81,0,-3.23693
0.01,0,0.82,1,-3.19732
0.01,0,0.83,0,-3.31007
0.01,0,0.84,1,-3.24379
0.01,0,0.85,0,-3.37547
0.01,0,0.86,1,-3.28657
0.01,0,0.87,0,-3.43375
0.01,0,0.88,1,-3.32604
0.01,0,0.89,0,-3.48557
0.01,0,0.9,1,-3.36254
0.01,0,0.91,0,-3.53162
0.01,0,0.92,1,-3.39636
0.01,0,0.93,0,-3.57254
0.01,0,0.94,1,-3.42774
0.01,0,0.95,0,-3.60894
0.01,0,0.96,1,-3.45692
0.01,0,0.97,0,-3.64139
0.01,0,0.98,1,-3.48407
0.01,0,0.99,0,-3.67035
0.01,0,1,1,-3.50938
0.01,0,1.01,0,-3.69627
0.01,0,1.02,1,-3.53298
0.01,0,1.03,0,-3.71951
0.01,0,1.04,1,-3.55502
0.01,0,1.05,0,-3.74038
0.01,0,1.06,1,-3.57563
0.01,0,1.07,0,-3.75917
0.01,0,1.08,1,-3.59489
0.01,0,1.09,0,-3.77612
0.01,0,1.1,1,-3.61294
0.01,0,1.11,0,-3.79142
0.01,0,1.12,1,-3.62984
0.01,0,1.13,0,-3.80527
0.01,0,1.14,1,-3.64568
0.01,0,1.15,0,-3.81782
0.01,0,1.16,1,-3.66054
